ID,Nickname,School Name,Active,Payment Through Us,Location Type,Location Phone,Address,City,State,Zip Code,Geographic Area,Point of Contact,POC Title,POC Phone,POC Email,Contractor,Location Enrollment,Demo Allowed,Demo Start Time,Demo Type,Base Professor Pay,Retained Client,Class Pricing Type,School Cut Type,School Cut,Virtus Required,TB Required,Livescan Required,Livescan Info,Contract/Permit Required,Contract/Permit Notes,Special Info Required,Flyer Required,Registration Link for Flyer,Custom Flyer Required,Custom Flyer Items Required,Flyer Quantity,Parking Information,Attendance Required,Demo Length,Unknown,School Procedure Info,Internal Notes,Observes Allowed,Jewish,Set Dates Ourselves,Number of Weeks,School Calendar Link,Client Manager,Invoicing Notes,Class 1 Type,Class 1 Grades,Class 1 Day,Class 1 Start Time,Class 1 Length (Minutes),Class 1 Cost,Class 1 Lab Fee per Week,Class 1 Minimum Students,Class 1 Maximum Students,Class 2 Type,Class 2 Grades,Class 2 Day,Class 2 Start Time,Class 2 Length (Minutes),Class 2 Cost,Class 2 Lab Fee per Week,Class 2 Minimum Students,Class 2 Maximum Students,Class 3 Type,Class 3 Grades,Class 3 Day,Class 3 Start Time,Class 3 Length (Minutes),Class 3 Cost,Class 3 Lab Fee per Week,Class 3 Minimum Students,Class 3 Maximum Students,Class 4 Type,Class 4 Grades,Class 4 Day,Class 4 Start Time,Class 4 Length (Minutes),Class 4 Cost,Class 4 Lab Fee per Week,Class 4 Minimum Students,Class 4 Maximum Students,Class 5 Type,Class 5 Grades,Class 5 Day,Class 5 Start Time,Class 5 Length (Minutes),Class 5 Cost,Class 5 Lab Fee per Week,Class 5 Minimum Students,Class 5 Maximum Students,Class 6 Type,Class 6 Grades,Class 6 Day,Class 6 Start Time,Class 6 Length (Minutes),Class 6 Cost,Class 6 Lab Fee per Week,Class 6 Minimum Students,Class 6 Maximum Students
1011,ALLENDALE,Allendale Park,No,No,School,6267447302,1130 S Marengo Ave,Pasadena,CA,91106,East LA,Carmen,Site Coordinator,,crodriguez@cityofpasadena.net,Leonardo - Victory Park,,NO,,,,No,Flat Fee,,,No,No,No,,,,,No,Register through Allendale Park,,,,,No,,,"General School Procedures: Class is past baseball field in the bungalows/trailers, room 27. ""Students should be reminded not to touch items in the classroom that aren't theirs. The teacher should check the classroom, and clean up any trash, or let us know if there's something we should address. When class is over, if the lights could be switched off, and the door pulled closed.",,,,No,,,Sam,,Science,K-3,Fridays,1:45 PM,240,,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,ALLESANDRO,Allesandro Elementary School,No,Yes,School,(323) 666-7162,2210 Riverside Dr,Los Angeles,CA,90039,Central LA,Carey,PTA,,carey.allesandropta@gmail.com,,,YES,,0.5,,No,Per Student,Subsidy Percentage,50%,No,No,No,,,,,Yes,ProfessorEgghead.com/register,No,,,,Yes,,,,,,,Yes,,,Sam,,Science,K-3,Tuesday,1:50 PM,60,$15.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,AMBASSADOR,Ambassador,No,Yes,School,(213) 480-4520,3201 W. 8th Street,Los Angeles,CA,90005,Central LA,Connor,,,teacherjeon@gmail.com,,,YES,,,,No,,,,No,No,No,,,,,Yes,ProfessorEgghead.com/register,,,,,Yes,,,,,,,No,,,Sam,,,K-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4797,ARCADIA,Arcadia Community Center,No,No,Rec,(626) 821-4368,365 Campus Dr,Arcadia,CA,91007,East LA,Jasmine,,6268214367,jrosas@arcadiaca.gov,City of Arcadia,,NO,,0.3,,No,Per Student,Percentage,30%,No,No,Yes,"Read the Attached form for instructions. Must complete Pre-employment addendum to be sent to Arcadia park and rec, sign child abuse acknowledgement, and receive live scan at the Arcadia PD. Livescan is walk in only - please bring form and call before walk in @ 626-574-5150. Hours are Wednesday 8AM - 3:30 PM, Thursday 12:00 - 6:00 PM, and Friday-Monday 9 AM - 6PM. Closed other days.  https://drive.google.com/file/d/1jxEjJot2kTOD--y7VDmDm_nE_n1vjRK4/view?usp=sharing",,,,Yes,"www.arcadiaca.gov/recreation OR sign up at the Recreation Office at 375 Campus Dr, Arcadia, CA 91007",Yes,Logo,50,Lot Parking,Yes,,,https://docs.google.com/document/d/e/2PACX-1vTLH_WR7t8W-rgN0iefggo89cz395Z6zdfYpH21F3PMvM6dbhNLJAvVjgR7CKtieXvdRJiawO_OaX0H/pub,"https://secure.rec1.com/CA/city-of-arcadia/dashboard

username: nick@professoregghead.com
pw: usual coordinator

click account --> instructor portal on right. ",,,Yes,5,,Sam,,Science,K-3,Tuesday,4:00 PM,60,$20.00,,8,14,Engineering,K-3,Tuesday,4:00 PM,60,$20.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,ARCADIA CAMP,Arcadia Camp - Dana Gym,Yes,No,Rec,(626) 821-4368,1401 S 1st Ave,Arcadia,CA,91006,East LA,Denisse,,626-574-5138,dbringas@arcadiaca.gov,City of Arcadia,,No,,"Client takes a $6 admin fee, then 30% off the remaining total",,No,Per Student,Percentage,0.3,No,No,Yes,"Read the Attached form for instructions. Must complete Pre-employment addendum to be sent to Arcadia park and rec, sign child abuse acknowledgement, and receive live scan at the Arcadia PD. Livescan is walk in only - please bring form and call before walk in @ 626-574-5150. Hours are Wednesday 8AM - 3:30 PM, Thursday 12:00 - 6:00 PM, and Friday-Monday 9 AM - 6PM. Closed other days.  https://drive.google.com/file/d/1jxEjJot2kTOD--y7VDmDm_nE_n1vjRK4/view?usp=sharing",,,,Yes,Register through Arcadia Community Center,Yes,Logo,,Lot Parking,Yes,,,https://docs.google.com/document/d/1eHcop_oHpEgCOVYYuylrQAuo9vcntq2JeBs8wfFm9TQ/edit?usp=sharing,"https://secure.rec1.com/CA/city-of-arcadia/dashboard

username: nick@professoregghead.com
pw: usual coordinator

click account --> instructor portal on right. ",,,No,,,Sam,,Science,K-3,M-F,9:00 AM,12/25/1900,375,$16,12,20,Engineering,K-3,M-F,9:00 AM,12/25/1900,375,16,10,20,Robotics,2-6,M-F,9:00 AM,360,375,16,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
3776,ARROYO,Arroyo Elementary School,No,Yes,School,(714) 730-7381,11112 Coronel Rd,North Tustin,CA,92705,North OC,Arlene,,,amlopez@tustin.k12.ca.us,,,Yes,,14 plus $25 application fee,,No,Per Student,Weekly,14 plus $25 application fee,No,No,No,,Yes,https://tustin.districtcalendar.org/UFP/LoginFCP.aspx?CID=20&ReturnUrl=%2fUFP%2fOriginator%2fFacilityRequests.aspx%3fRID%3d115287,,Yes,ProfessorEgghead.com/register,,,330 - 11 sets of 30 - needs approval,,Yes,,,https://docs.google.com/document/d/e/2PACX-1vTTcn8qgxjWo2ifwcLiZu0zUz2vYbitpaaJitfoVRzAgjJN2rx7Qy0_eaNTmRhtwgOiR41TTdXuKTcn/pub,,,No,Yes,,https://www.tustin.k12.ca.us/arroyo/about-our-school/calendar,Sam,,Engineering,1-5,Wednesday,1:25 PM,60,$19.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,E3 ATWATER,Atwater Elementary School,Yes,No,School,(323) 665-5941,3271 Silver Lake Blvd,Los Angeles,CA,90039,Central LA,Brenda,,,brenda@enrichmentkids.com,E3,,Yes,9:45 - 10:00 AM,,,No,Flat Fee,,,No,No,No,,No,https://drive.google.com/open?id=1shtfcE7_X1Lt4-LxxVIwpcQhHTnIzI_l,,Yes,Register through E3,,,175,Medium,Yes,,,https://docs.google.com/document/d/19QKL3qOHY7RL98DOq7XgAOELEWfcdB2qV5pbcFbXud8/edit?usp=drive_link,School requires us to get there a little early to receive the kids around 2:40pm,,No,Yes,8,https://achieve.lausd.net/domain/36,Sam,,Engineering,3-6,Monday,2:40 PM,3/10/1900,$215.00,,0,14,Engineering,TK-2,Wednesday,2:40 PM,3/10/1900,215,,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,BERKELEY,Berkeley Hall,No,No,School,(512) 921-2374,16000 Mulholland Drive,Los Angeles,CA,90049,West LA,Dana,Vendor,,beyondthebellcalifornia@gmail.com,,,Yes,,,,No,Per Student,,,No,No,No,,,,,No,Register through Berkeley,,,,Lot Parking - Buzz at Gate and say there for Professor Egghead Science,Yes,,,,,,,No,,,Sam,,Science,1-3,Monday,4:00 PM,60,$18.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,BERKELEY (PK),Berkeley Hall,No,No,School,(512) 921-2374,16000 Mulholland Drive,Los Angeles,CA,90049,West LA,Dana,Vendor,,beyondthebellcalifornia@gmail.com,,,Yes,,,,No,Flat Fee,,,No,No,No,,,,,No,Register through Berkeley,,,,Lot Parking - Buzz at Gate and say there for Professor Egghead Science,Yes,,,General School Procedures: Max 9 Students,,,,No,,,Sam,Pays automatically by month,Science,PK-K,Friday,4:00 PM,60,$115.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,BEYOND,Beyond the Classroom,No,Yes,School,(626) 394-8954,304 Pasadena Ave,South Pasadena,CA,91030,East LA,Samantha,Owner,,beyondtheclassroomsp@gmail.com,,,Yes,,,,No,Per Student,,,No,No,No,,,,,Yes,ProfessorEgghead.com/register,,,25,Lot Parking - Go up ramp and park in any spot. Entrance through gate.,Yes,,,https://docs.google.com/document/d/1FEua6BZMldoNxzYCiluY3mlbnc-0_ISmGaTqnud99kY/edit?usp=drive_link,,,,Yes,,,Sam,,Science,K-3,Tuesday,4:00 PM,60,$19.00,,9,14,Science,K-3,Friday,4:00 PM,60,20,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801,BH PARKS HORACE MANN,Beverly Hills Parks - Horace Mann Elementary,Yes,No,Rec,(310) 285-2537,8701 Charleville Blvd,Beverly Hills,CA,90211,West LA,Malik Diggs,BH City Coordinator,"Cell: (704) 232-0815
Office: (310) 285-6814",mdiggs@beverlyhills.org,BH PARKS,,Yes,,0.3,,No,Per Student,Percentage,30%,No,No,Yes,Livescan is not required to be done by the professor. Client Management must send an affidavit.,,,,,Register through Beverly Hills Parks,,,,Lot - Underground. Enter on Wilshire behind school. Take elevator to ground level.,Yes,,,https://docs.google.com/document/d/1D_LCBhlby8M9NwQYTRfrYq075lIRkcDvj4F3JMgANaY/edit?tab=t.0,,No,,No,,,Catie,See Quickbooks for detailed notes,Engineering,TK-2nd,Friday,3:15 PM,2/28/1900,$30.00,,8,15,Engineering,1st-5th,Monday,3:15 PM,2/28/1900,30,,8,15,Science,TK-2nd,Wednesday,3:15 PM,2/28/1900,30,,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
4848,BH PARKS ROXBURY,Beverly Hills Parks - Roxbury,Yes,No,Rec,(310) 285-2537,471 S Roxbury Dr,beverly Hills,CA,90212,West LA,Norma,Rec Supervisor,310.285.6814,nmower@beverlyhills.org,BH PARKS,,Yes,,0.3,,No,Per Student,Percentage,30%,No,No,Yes,,,,,,Register through Beverly Hills Parks,,,,,Yes,,,Kids will be dropped off at the metered parking lot by the Community Center at 471 S. Roxbury. We must take their temperature with contactless thermometer to verify it is below 100.4. Please lay out signs for parents to find way.,,,,No,,,Catie,See Quickbooks for detailed notes,Science,K-3,M-F,9:00 AM,360,$400.00,80,8,30,Engineering,K-3,M-F,9:00 AM,360,400,80,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,BOYS AND GIRLS,Boys and Girls,No,Yes,Rec,(626) 345-0540,2151 N Lake Ave,Altadena,CA,91001,East LA,Ghani,,,placeholder@dontknow.com,,,YES,,,,No,,,,No,No,No,,,,,Yes,ProfessorEgghead.com/register,,,,,Yes,,,,,,,No,,,Sam,,,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4803,BRAEMAR,Braemar Country Club,No,No,Daycare,(818) 900-3319,4001 Reseda Blvd,Tarzana,CA,91356,Valley,Eileen and Shandiz,Vendor,,shandiz@losangelesswim.com,Los Angeles Swim,,No,,,,No,flat fee,,,No,No,No,,,,,No,,,,,,No,,,https://docs.google.com/document/d/1mof8U89DG19uhv3CGt4zQlauThsOC9RX5dx9h16qIcs/edit?usp=drive_link,,,,No,,,Sam,,Science,K-2,Wednesday,10:30 AM,60,$180.00,,0,30,Science,3-5,Thursday,4:00 PM,60,18,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,BRAWERMAN EAST,Brawerman East,No,No,School,(213) 835-2171,3663 Wilshire Blvd,Los Angeles,CA,90010,Central LA,Rosie,,,rbarajas@brawerman.org,,,YES,,,,No,,,,No,No,No,,,,,,Register through Brawerman East,,,,,Yes,,,,,,,No,,,Sam,,,K-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,BRAWERMAN WEST,Brawerman West,No,No,School,(310) 445-1280,11661 West Olympic Blvd,Los Angeles,CA,90064,West LA,Lee,Coordinator,,lspiro@brawerman.org,,,Yes,12:00 PM,,,No,Per Student,,,No,No,No,,,,,No,Register through Brawerman West,,,,Lot - Need to Bring ID for Security,Yes,,,https://docs.google.com/document/d/e/2PACX-1vRGG3ek6v5RnBQg4AHfyS2zt4i07GQhS1SoIRaIWon89hE0rxV9_GWjw_sag3_TVqG6TD29AswEmWTa/pub,,,,No,,,Sam,,Science,K,Monday,3:00 PM,40,$18.00,,8,14,Science,1-4,Monday,3:45 PM,60,$18.00,,8,14,Engineering,K,Thursday,3:00 PM,40,$18.00,,8,14,Engineering,1-4,Thursday,3:45 PM,60,$18.00,,8,14,,,,,,,,,,,,,,,,,,
4806,BRENTWOOD,Brentwood,Yes,No,School,(310) 471-1041,12001 Sunset Blvd,Los Angeles,CA,90049,West LA,Holly,Coordinator,,hbriner@bwscampus.com,,,Yes,12/30/1899,,50,No,Per Student,,,No,Yes,Yes,"A specific LS is not required, rather, CM must send an affidavit.
TB test must be within 4 years.",,,,No,Register through Brentwood,,,,"Lot Parking (Use the Bundy Gate lot only) - Must buzz in. Arrive by 2:40, park only in the garage for After School Activities",Yes,2/28/1900,,https://docs.google.com/document/d/1z3koGBVYy1VNL8PfnnWZnLCSBFfg8oMbjJULZaMUq90/edit?usp=drive_link,,,,No,,https://www.bwscampus.com/about-us/calendar/holiday-dates,Catie,,Science,K-3,Tuesday,2:55 PM,3/20/1900,$23.00,,9,14,Engineering,K-3,Tuesday,2:55 PM,3/20/1900,$23.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,BRENTWOOD PRES,Brentwood Presbyterian,No,No,School,(310) 826-2020,12000 San Vicente Blvd,Los Angeles,CA,90049,West LA,Christine,,,christine.corsinita@bpcpreschool.com,,,YES,,,,No,Flat Fee,,,No,No,No,,,,,No,Register through Brentwood Presbyterian,,,,Lot - Enter by 2:50 PM,Yes,,,,,,,No,,,Sam,,Science,PK,Thursday,12:30 PM,90,$120,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,BRET HARTE,Bret Harte Elementary,No,Yes,School,(818) 558-5533,3200 W Jeffries Ave,Burbank,CA,91505,Valley,Erika,Office Asst.,,ErikaDiaz@burbankusd.org,City of Burbank,582,Yes,,$32/hour rental fee + $50 application,,No,Per Student,Weekly,$32/hour rental fee + $50 application,No,No,No,,Yes,https://drive.google.com/drive/u/1/folders/1yFHe7VBGVGcnlG0RLzNQ2iZtORym-91a,,Yes,ProfessorEgghead.com/register,,,300,Street,Yes,,,https://docs.google.com/document/d/1fGckATSvIBXkaIrkJbdB0fu67rBs3to61f20kpOfuVc/edit?usp=drive_link,General School Procedures: Need Facilities App,,,Yes,,,Sam,,Science,K,Tuesday,1:00 PM,60,$20.00,,9,14,Science,1-3,Tuesday,2:10 PM,60,$20.00,,7,14,Engineering,1-2,Thursday,2:25 PM,60,20,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,BURBANK,Burbank,No,No,School,(818) 238-5328,1515 North Glenoaks Blvd,Burbank,CA,91504,Valley,Jon,,,jmcginley@ci.burbank.ca.us,City of Burbank,,NO,,0.35,,No,,Percentage,35%,No,No,Yes,"The address is on the attached form, and you just have to go and say it's for after school classes at Verdugo park booked through  Jocelyn. They'll know what you're talking about. Let me know the cost and your time so that we can reimburse. i believe this location is cash only - $58 or so. If you need the cash, let me know and we can arrange to have you pick it up before you head over.  https://docs.google.com/document/d/e/2PACX-1vReB9JYbFhRSQMkJTXZh1amoANzbYtxav6jkJU8nY3rksrlwxFwN0zT0VM2uK85IGhR8Jmdb4m7W_HH/pub",,,,No,Register through Burbank,,,,,Yes,,,,,,,Yes,,,Sam,,,K-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,C CORNER,C. Corner,No,No,School,(818) 909-9489,7023 Haskell Ave,Van Nuys,CA,91406,Valley,Ambrene,,,rachel@childrenscornerschool.com,,,Yes,,,,No,,,,No,No,No,,,,,,Register through C. Corner,,,,,Yes,,,,,,,No,,,Sam,,,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,CAMP SHAMAYIM,Camp Shamayim,No,No,School,(818) 414-6639,12800 Chandler Blvd,Valley Village,CA,91608,Valley,Devora,Coordinator,,la.pollaks@sbcglobal.net,,,NO,,,,No,,,,No,No,No,,,,,,Register through Camp Shamayim,,,,,No,,,,,,,No,,,Sam,,,K-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,CARLTHORP,Carlthorp,No,No,School,(310) 451-1332,438 San Vincente Blvd,Santa Monica,CA,90402,West LA,Tim,Coordinator,,tkusserow@carlthorp.org,,,Yes,,,,No,,,,No,No,No,,,,,,Register through Carlthorp,,,,,Yes,,,,,,,No,,,Sam,,,K-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
